,手术当天_静息痛,手术当天_活动痛,手术当天_镇静评分,手术当天_活动状态,手术当天_恶心呕吐,术后第一天_静息痛,术后第一天_活动痛,术后第一天_镇静评分,术后第一天_活动状态,术后第一天_恶心呕吐,术后第二天_静息痛,术后第二天_活动痛,术后第二天_镇静评分,术后第二天_活动状态,术后第二天_恶心呕吐,术后第三天_静息痛,术后第三天_活动痛,术后第三天_镇静评分,术后第三天_活动状态,术后第三天_恶心呕吐
手术当天_静息痛,1.0,0.8940783214723127,0.006316263413167274,0.0611266229542254,0.07164037298160279,0.6880154791561497,0.5195621175575561,-0.01059197361766741,0.08193438838807546,0.036822662919019186,0.5351585528739701,0.39612497266127356,-0.03941594248487855,0.046926782264279154,0.002022933954718059,0.45264592535071,0.385340580637615,-0.03570639072041023,0.030037549285098258,0.03374430046855866
手术当天_活动痛,0.8940783214723127,1.0,-0.051891390386484784,0.023312484897184148,0.0781960456594792,0.6065468824215293,0.6372460230644111,-0.05719042114531325,0.07760021972799001,0.03300716883161271,0.4567382153067735,0.454506221639307,-0.05876553063761774,0.03915757086036724,-0.017785142119989567,0.3705251505750987,0.4207564685809568,-0.059525209410717914,0.030530683094068797,0.014174447697080787
手术当天_镇静评分,0.006316263413167274,-0.051891390386484784,1.0,0.3146838292432127,0.005524113597053039,0.09192846092584803,0.008012689355330508,0.5231070226350785,0.13553046747988057,0.015907914086024596,0.15068722945362248,0.0910643765191103,0.3024029251451875,0.10775564657495823,0.013188653939725915,0.15185132030105591,0.11839442288867467,0.2615903826030784,0.08964261747686508,0.002841536338558781
手术当天_活动状态,0.0611266229542254,0.023312484897184148,0.3146838292432127,1.0,-0.009603796540004771,0.12678497154273266,0.10070268469417457,0.17697520651312648,0.48827333657945365,0.0010064772927113005,0.08745666004039236,0.07319365620773077,0.06780295955515653,0.2145924186372151,-0.014693662679279136,0.09093050790410408,0.10031895347039688,0.07485906902726029,0.22710144365542118,0.020516612064505994
手术当天_恶心呕吐,0.07164037298160279,0.0781960456594792,0.005524113597053039,-0.009603796540004771,1.0,0.06381445824691842,0.05493725172977933,-0.0010543429193813174,-0.0025126035302820175,0.34427365842454616,0.04404033521120162,0.04523414835944131,0.034836468242176406,0.024066136650405946,0.18136684334142,0.04662589375838422,0.058262071381976824,-0.01605017518657529,0.025789118581219805,0.08552658734775978
术后第一天_静息痛,0.6880154791561497,0.6065468824215293,0.09192846092584803,0.12678497154273266,0.06381445824691842,1.0,0.7783719220634717,0.014908086905372729,0.1107764691075851,0.08549691078451567,0.6271517101243147,0.491684564435566,-0.01685600489637216,0.05838192641747905,0.012855789321802745,0.5052519638166337,0.4637334337021914,-0.0272769670672954,0.027889872076447005,0.02978371320309911
术后第一天_活动痛,0.5195621175575561,0.6372460230644111,0.008012689355330508,0.10070268469417457,0.05493725172977933,0.7783719220634717,1.0,-0.05523770990212468,0.13863141363003947,0.060266578694218205,0.4643945629910608,0.5989417502006119,-0.05727978309577603,0.0602004084787956,-0.01689783016905183,0.353454682801028,0.5277141229767635,-0.05905428527345436,0.04245640301122817,0.01227529991525304
术后第一天_镇静评分,-0.01059197361766741,-0.05719042114531325,0.5231070226350785,0.17697520651312648,-0.0010543429193813174,0.014908086905372729,-0.05523770990212468,1.0,0.02489036810049846,0.1085279130412094,0.06714504582113325,0.03659294065150503,0.45317891827162515,0.0673894923561747,0.0019444249285184715,0.0843629682726851,0.07354366733419074,0.366874138730583,0.06817900783888345,-0.011963608268350526
术后第一天_活动状态,0.08193438838807546,0.07760021972799001,0.13553046747988057,0.48827333657945365,-0.0025126035302820175,0.1107764691075851,0.13863141363003947,0.02489036810049846,1.0,-0.053524761543081174,0.08989669347344456,0.11516685505041913,0.03502806640146975,0.45062593869698486,-0.05513124711239776,0.09881381136819967,0.16015564808105176,0.055408964802002164,0.4112532377506499,0.023873685048437808
术后第一天_恶心呕吐,0.036822662919019186,0.03300716883161271,0.015907914086024596,0.0010064772927113005,0.34427365842454616,0.08549691078451567,0.060266578694218205,0.1085279130412094,-0.053524761543081174,1.0,0.06001843387614939,0.045166782094829716,0.04275530381442447,0.02026587188527117,0.33390408863973475,0.04580112224164739,0.04446369795798289,-0.010826458649387697,0.0012911161116346808,0.18275675274493747
术后第二天_静息痛,0.5351585528739701,0.4567382153067735,0.15068722945362248,0.08745666004039236,0.04404033521120162,0.6271517101243147,0.4643945629910608,0.06714504582113325,0.08989669347344456,0.06001843387614939,1.0,0.723168855581223,-0.017058458511726,0.09753684765091772,0.044884691155998704,0.7298740957347821,0.6195305135732998,-0.006027930492501299,0.06745607329517224,0.07444270043261096
术后第二天_活动痛,0.39612497266127356,0.454506221639307,0.0910643765191103,0.07319365620773077,0.04523414835944131,0.491684564435566,0.5989417502006119,0.03659294065150503,0.11516685505041913,0.045166782094829716,0.723168855581223,1.0,0.040367044046124685,0.06357779754458927,0.05055739036546755,0.5337899614672328,0.6961166984784616,-0.03630134665454947,0.05007117222569785,0.0537962869837106
术后第二天_镇静评分,-0.03941594248487855,-0.05876553063761774,0.3024029251451875,0.06780295955515653,0.034836468242176406,-0.01685600489637216,-0.05727978309577603,0.45317891827162515,0.03502806640146975,0.04275530381442447,-0.017058458511726,0.040367044046124685,1.0,0.019648012337777233,0.12173895131267425,-0.011728578006645084,-0.025035824278653484,0.6820789569383099,0.046743465890423955,0.008562681771739654
术后第二天_活动状态,0.046926782264279154,0.03915757086036724,0.10775564657495823,0.2145924186372151,0.024066136650405946,0.05838192641747905,0.0602004084787956,0.0673894923561747,0.45062593869698486,0.02026587188527117,0.09753684765091772,0.06357779754458927,0.019648012337777233,1.0,-0.01898251394890103,0.10176841205886067,0.10806883467449971,0.11652498531571082,0.7129495348918788,0.06586602019992374
术后第二天_恶心呕吐,0.002022933954718059,-0.017785142119989567,0.013188653939725915,-0.014693662679279136,0.18136684334142,0.012855789321802745,-0.01689783016905183,0.0019444249285184715,-0.05513124711239776,0.33390408863973475,0.044884691155998704,0.05055739036546755,0.12173895131267425,-0.01898251394890103,1.0,0.045966871249308275,0.019560242149671468,0.003422657149518061,-0.014529524657396068,0.4647789123860234
术后第三天_静息痛,0.45264592535071,0.3705251505750987,0.15185132030105591,0.09093050790410408,0.04662589375838422,0.5052519638166337,0.353454682801028,0.0843629682726851,0.09881381136819967,0.04580112224164739,0.7298740957347821,0.5337899614672328,-0.011728578006645084,0.10176841205886067,0.045966871249308275,1.0,0.7658280685202155,0.0009080089927920101,0.07026336545089293,0.09276427387118688
术后第三天_活动痛,0.385340580637615,0.4207564685809568,0.11839442288867467,0.10031895347039688,0.058262071381976824,0.4637334337021914,0.5277141229767635,0.07354366733419074,0.16015564808105176,0.04446369795798289,0.6195305135732998,0.6961166984784616,-0.025035824278653484,0.10806883467449971,0.019560242149671468,0.7658280685202155,1.0,-0.04393956844636701,0.1033768429946476,0.0660072789695531
术后第三天_镇静评分,-0.03570639072041023,-0.059525209410717914,0.2615903826030784,0.07485906902726029,-0.01605017518657529,-0.0272769670672954,-0.05905428527345436,0.366874138730583,0.055408964802002164,-0.010826458649387697,-0.006027930492501299,-0.03630134665454947,0.6820789569383099,0.11652498531571082,0.003422657149518061,0.0009080089927920101,-0.04393956844636701,1.0,0.030203010582501244,-0.004224078210160655
术后第三天_活动状态,0.030037549285098258,0.030530683094068797,0.08964261747686508,0.22710144365542118,0.025789118581219805,0.027889872076447005,0.04245640301122817,0.06817900783888345,0.4112532377506499,0.0012911161116346808,0.06745607329517224,0.05007117222569785,0.046743465890423955,0.7129495348918788,-0.014529524657396068,0.07026336545089293,0.1033768429946476,0.030203010582501244,1.0,-0.0025583270459719884
术后第三天_恶心呕吐,0.03374430046855866,0.014174447697080787,0.002841536338558781,0.020516612064505994,0.08552658734775978,0.02978371320309911,0.01227529991525304,-0.011963608268350526,0.023873685048437808,0.18275675274493747,0.07444270043261096,0.0537962869837106,0.008562681771739654,0.06586602019992374,0.4647789123860234,0.09276427387118688,0.0660072789695531,-0.004224078210160655,-0.0025583270459719884,1.0
