target,class_0_label,class_1_label,p_true_low_pred_low,p_true_low_pred_high,p_true_high_pred_low,p_true_high_pred_high,count_true_low_pred_low,count_true_low_pred_high,count_true_high_pred_low,count_true_high_pred_high,auc,accuracy,precision,recall,specificity,fpr,f1,log_loss,brier
SurgeryDay_RestPain,Class 0 (0-3),Class 1 (4-10),0.678,0.322,0.5294117647058824,0.47058823529411764,339,161,18,16,0.5657058823529412,0.6647940074906367,0.0903954802259887,0.47058823529411764,0.678,0.322,0.15165876777251186,0.9205077831871027,0.3317345280027752
SurgeryDay_MovementPain,Class 0 (0-3),Class 1 (4-10),0.7959641255605381,0.2040358744394619,0.6741573033707865,0.3258426966292135,355,91,60,29,0.5979493122386255,0.7177570093457943,0.24166666666666667,0.3258426966292135,0.7959641255605381,0.2040358744394619,0.27751196172248804,0.9369578737976998,0.34855742538575957
SurgeryDay_SedationScore,Class 0 (1-2),Class 1 (3-5),1.0,0.0,0.875,0.125,527,0,7,1,0.8406072106261859,0.9869158878504672,1.0,0.125,1.0,0.0,0.2222222222222222,0.1091794072506103,0.026304398613491948
SurgeryDay_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.5,0.5,0.07307692307692308,0.926923076923077,7,7,38,482,0.8497252747252747,0.9157303370786517,0.9856850715746421,0.926923076923077,0.5,0.5,0.9554013875123886,0.3850784797352893,0.10511791152830735
SurgeryDay_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.8649193548387096,0.1350806451612903,0.6923076923076923,0.3076923076923077,429,67,27,12,0.7019747725392886,0.8242990654205608,0.1518987341772152,0.3076923076923077,0.8649193548387096,0.1350806451612903,0.2033898305084746,0.5335330169240141,0.16959926463563166
POD1_RestPain,Class 0 (0-3),Class 1 (4-10),0.9827586206896551,0.017241379310344827,0.7857142857142857,0.21428571428571427,513,9,11,3,0.7628626163108921,0.9626865671641791,0.25,0.21428571428571427,0.9827586206896551,0.017241379310344827,0.23076923076923075,0.5989220277878753,0.21041498823342852
POD1_MovementPain,Class 0 (0-3),Class 1 (4-10),0.6020618556701031,0.3979381443298969,0.4117647058823529,0.5882352941176471,292,193,21,30,0.6466949666464524,0.6007462686567164,0.13452914798206278,0.5882352941176471,0.6020618556701031,0.3979381443298969,0.218978102189781,0.9166039145353567,0.3387266301244929
POD1_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9981167608286252,0.0018832391713747645,1.0,0.0,530,1,5,0,0.864030131826742,0.9888059701492538,0.0,0.0,0.9981167608286252,0.0018832391713747645,0.0,0.08846019495765425,0.02210889727817263
POD1_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.5,0.5,0.09873949579831932,0.9012605042016807,30,30,47,429,0.8433473389355742,0.8563432835820896,0.934640522875817,0.9012605042016807,0.5,0.5,0.9176470588235294,0.5084081885681945,0.1646855555090909
POD1_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.948076923076923,0.051923076923076926,0.75,0.25,493,27,12,4,0.6831730769230769,0.9272388059701493,0.12903225806451613,0.25,0.948076923076923,0.051923076923076926,0.1702127659574468,0.2978734069751615,0.0837899281410731
POD2_RestPain,Class 0 (0-3),Class 1 (4-10),0.9924385633270322,0.007561436672967864,1.0,0.0,525,4,4,0,0.6039697542533081,0.9849906191369606,0.0,0.0,0.9924385633270322,0.007561436672967864,0.0,0.25594334954544573,0.07062075396004278
POD2_MovementPain,Class 0 (0-3),Class 1 (4-10),0.898635477582846,0.10136452241715399,0.8,0.2,461,52,16,4,0.5724171539961014,0.8724202626641651,0.07142857142857142,0.2,0.898635477582846,0.10136452241715399,0.10526315789473682,0.7269133716336593,0.2579504081080236
POD2_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9906015037593985,0.009398496240601503,0.5,0.5,527,5,1,1,0.5648496240601504,0.9887640449438202,0.16666666666666666,0.5,0.9906015037593985,0.009398496240601503,0.25,0.06070540018819392,0.007656153549652731
POD2_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.8994708994708994,0.10052910052910052,0.34202898550724636,0.6579710144927536,170,19,118,227,0.8345372287401273,0.7434456928838952,0.9227642276422764,0.6579710144927536,0.8994708994708994,0.10052910052910052,0.7681895093062606,0.5172074389825942,0.16578237369504864
POD2_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.9753787878787878,0.02462121212121212,1.0,0.0,515,13,5,0,0.7098484848484848,0.9662288930581614,0.0,0.0,0.9753787878787878,0.02462121212121212,0.0,0.13276237963538956,0.03302501987260553
POD3_RestPain,Class 0 (0-3),Class 1 (4-10),0.9920159680638723,0.007984031936127744,1.0,0.0,497,4,3,0,0.5296074517631404,0.9861111111111112,0.0,0.0,0.9920159680638723,0.007984031936127744,0.0,0.14532772673451283,0.0394338803200175
POD3_MovementPain,Class 0 (0-3),Class 1 (4-10),0.8181818181818182,0.18181818181818182,0.7777777777777778,0.2222222222222222,405,90,7,2,0.7048260381593715,0.8075396825396826,0.021739130434782608,0.2222222222222222,0.8181818181818182,0.18181818181818182,0.039603960396039604,0.4669899098509686,0.13858932383050163
POD3_SedationScore,Class 0 (1-2),Class 1 (3-5),0.9880478087649402,0.01195219123505976,1.0,0.0,496,6,1,0,0.9840637450199203,0.9860834990059643,0.0,0.0,0.9880478087649402,0.01195219123505976,0.0,0.024274513052347402,0.007295779431505811
POD3_ActivityStatus,Class 0 (1-2),Class 1 (3-4),0.8680851063829788,0.13191489361702127,0.2936802973977695,0.7063197026022305,204,31,79,190,0.8590840781460096,0.7817460317460317,0.8597285067873304,0.7063197026022305,0.8680851063829788,0.13191489361702127,0.7755102040816326,0.4701811075911598,0.14704273660822387
POD3_NauseaVomiting,Class 0 (0-1),Class 1 (2-3),0.9940119760479041,0.005988023952095809,1.0,0.0,498,3,2,0,0.6706586826347305,0.9900596421471173,0.0,0.0,0.9940119760479041,0.005988023952095809,0.0,0.07239875485199793,0.016394173722360784
